,TAXON,ACTIVITY,CNAME,FAMILY,GENUS,SPECIES
180,Aconitum japonicumvar.montanum,"Anodyne,Antispasmodic",Yama-Tori-Kabuto,Ranunculaceae,Aconitum,japonicum
181,Aconitum kusnezoffii,"Arthritis,Nephritis,Rheumatism,Sciatica",nan,Ranunculaceae,Aconitum,kusnezoffii
182,Aconitum laciniatum,"Medicine,Poison",nan,Ranunculaceae,Aconitum,laciniatum
183,Aconitum lycoctonum,"Analgesic,Diuretic,Fever,Narcotic,Poison,Sedative,Sudorific,Tumor,Cancer,Anodyne","Wolfs Eisenhut,Yellow Wolfsbane,Lupata,Matalobos,Kurtbogan,Aconit Tue Loup,Gele Monnikskap,nan,Aconito Matalobo,Gelber Eisenhut",Ranunculaceae,Aconitum,lycoctonum
184,Aconitum napellus,"Analgesic,Anesthetic,Anodyne,Antispasmodic,Cancer,Diuretic,Heart,Narcotic,Nerves,Neuralgia,Poison,Poison(Arrow),Rheumatism,Sedative,Sudorific,Fever","nan,Duivelskruid,Yoshu-Tori-Kabuto,Monk'Shood,Kaplanbogan,Aconito Napello,Uva Verga,Blauer Eisenhut,Monkshood,Stormhat,Tue Loup,Aconito,European Monkshood",Ranunculaceae,Aconitum,napellus
185,Aconitum reclinatum,Poison,Monkshood,Ranunculaceae,Aconitum,reclinatum
186,Aconitum septentrionale,"Insecticide,Sore",Niu Pien,Ranunculaceae,Aconitum,septentrionale
187,Aconitum sp,"Ague,Analgesic,Anesthesia,Anodyne,Cancer,Cardiotonic,Cholera,Deobstruent,Diaphoretic,Dropsy,Dysentery,Fever,Nerves,Poison,Poison(Arrow),Respiratory,Sedative,Stimulant,Throat,Rheumatism,Alterative,Arthritis,Neuralgia,Diuretic","Wu T'Ou,nan,Ts'Ao Wu,Mu Pieh Tzu,Ch'Uan Wu T'Ou,T'U Fu Tzu,Aconite,Herba Lobo",Ranunculaceae,Aconitum,sp
188,Aconitum sp?,Pediculicide,Shih Chien Ts'Ao,Ranunculaceae,Aconitum,sp?
189,Aconitum spicatum,Poison,nan,Ranunculaceae,Aconitum,spicatum
190,Aconitum transsectum,Poison,nan,Ranunculaceae,Aconitum,transsectum
191,Aconitum uncinatum,"Medicine,Poison","Ts'Ao Wu,Kusauzu,Aconite,Fu Tzu",Ranunculaceae,Aconitum,uncinatum
192,Aconitum violaceum,Tonic,nan,Ranunculaceae,Aconitum,violaceum
193,Aconitum volubile,Poison,nan,Ranunculaceae,Aconitum,volubile
194,Aconitum vulparia,Poison,Monkshood,Ranunculaceae,Aconitum,vulparia
195,Aconitum wilsonii,"Boil,Cough",nan,Ranunculaceae,Aconitum,wilsonii
196,Aconogonum molle,Astringent,nan,Polygonaceae,Aconogonum,molle
197,Acorus calamus,"Abortifacient,Ache(Head),Ache(Stomach),Anorexia,Antidote(Euphorbiaceae),Antiseptic,Apertif,Aphrodisiac,Arthritis,Asthma,Breath,Bronchitis,Bubo,Burn,Cancer,Carbuncle,Carminative,Catarrh,Chest-Cold,CNS stimulant,Cold,Colic,Cough,Dentifrice,Diarrhea,Digestive,Dysentery,Dyspepsia,Edema,Emetic,Emmenagogue,Epilepsy,Expectorant,Eye,Fever,Fumitory,Gangrene,Gastritis,Halitosis,Hallucinogen,Hearing,Hemoptysis,Hemorrhage,Hemostat,Insecticide,Laxative,Liqueur,Medicine,Mouthwash,Nerves,Nervine,Odontosis,Panacea,Parturition,Pediculifuge,Perfume,Phthisis,Rheumatism,Sclerosis(Liver),Sclerosis(Spleen),Sclerosis(Stomach),Sclerosis(Uterus),Sedative,Sight,Skin,Snuff,Sore(Throat),Spasm,Stimulant,Stomachic,Stroke,Tonic,Ache(Tooth),Tumor(Abdomen),Tumor(Rectum),Tumor(Testicle),Tumor(Vagina),Venereal,Vermifuge,Alexiteric,Bite(Snake),Tuberculosis,Deafness,Diuretic,Repellant(Insect),Menorrhagia,Pediculicide,Splenomegaly,Sudorific,Tumor(Glands)","Sweet Flag,nan,Shui Ch'Ang Pu,Agri Turki,Ch'Ang P'U Chiu,Jeringau,Kalmus,Calomo Aromatico,Kalmoes,Acore Vrai,Sarango,Ganoeak,Jariangau,Acorus,Calmus,Calamus,Jerangau,Vacha,Doringo,Djerango,Kalmos,Acoro Aromatico,Calamo Aromatico,Vaj,Kaliraga,Bach,Azakegeri",Acoraceae,Acorus,calamus
198,Acorus calamusssp.gramineus,"Balsamic,Stomachic",Seki-Sho,Acoraceae,Acorus,calamus
199,Acorus calamusvar.angustatus,"Balsamic,Stomachic",Sho-Bu,Acoraceae,Acorus,calamus
200,Acorus gramineus,"Ache(Back),Chest,Coma,Deafness,Diaphoretic,Digestive,Dyspepsia,Energy,Epilepsy,Leprosy,Numbness,Otitis,Rheumatism,Sore,Spasm,Stimulant,Stomachic,Throat,Vermifuge,Viricide,Tonic,Anorexia,Congestion,Convulsion,Diarrhea,Eruption,Hyperacidity,Insecticide,Malaria,Medicine,Sedative","nan,Shih Ch'Ang Pu",Acoraceae,Acorus,gramineus
201,Acorus spurius,"Insecticide,Itch",Pai Ch'Ang,Acoraceae,Acorus,spurius
202,Acriopsis javanica,Fever,nan,Orchidaceae,Acriopsis,javanica
203,Acriopsis sp.,Fever,nan,Orchidaceae,Acriopsis,sp.
204,Acrocomia antioquensis,Pectoral,nan,Arecaceae,Acrocomia,antioquensis
205,Acrocomia mexicana,"Liqueur,Diabetes",nan,Arecaceae,Acrocomia,mexicana
206,Acrocomia panamensis,Diabetes,nan,Arecaceae,Acrocomia,panamensis
207,Acrocomia quisqueyana,"CNS stimulant,Intoxicant,Sterility(Female),Stimulant,Soap","Corozo,Corosse,Corozo Criollo,Corossier",Arecaceae,Acrocomia,quisqueyana
208,Acrocomia sclerocarpa,"Intoxicant,Catarrh,Fertility",nan,Arecaceae,Acrocomia,sclerocarpa
209,Acrocomia totai,Antifertility,nan,Arecaceae,Acrocomia,totai
210,Acrocomia vinifera,Intoxicant,nan,Arecaceae,Acrocomia,vinifera
211,Acronychia laurifolia,"Piscicide,Stimulant,Sore",nan,Rutaceae,Acronychia,laurifolia
212,Acronychia odorata,"Dengue,Fever",nan,Rutaceae,Acronychia,odorata
213,Acronychia pedunculata,"Anodyne,Hemostat,Medicine",nan,Rutaceae,Acronychia,pedunculata
214,Acronychia resinosa,Piscicide,nan,Rutaceae,Acronychia,resinosa
215,Acrostichum aureum,"Emollient,Fish-Bones,Wound,Boil,Vulnerary",nan,Pteridaceae,Acrostichum,aureum
216,Actaea arguta,"Diarrhea,Poison,Laxative,Rheumatism","nan,Baneberry",Ranunculaceae,Actaea,arguta
217,Actaea pachypoda,Poison,Baneberry,Ranunculaceae,Actaea,pachypoda
218,Actaea racemosa,"Alterative,Aphrodisiac,Astringent,Diuretic,Emmenagogue,Expectorant,Nervine,Sedative,Stomachic,Sudorific,Spasm","Slangenwortel,Wanzenkraut,Black Snakeroot,Cimicaire,American Baneberry,Rattle Root,Actee A Grappes,Black Cohosh,Tahta Bitiotu,Sauco,Amerikansk Slangerod",Ranunculaceae,Actaea,racemosa
219,Actaea rubra,"Cough,Poison,Cold","nan,Baneberry",Ranunculaceae,Actaea,rubra
220,Actaea spicata,"Angina Pectoris,Antidote,Asthma,Cardiotonic,Dropsy,Hysteria,Nerves,Nervine,Pertussis,Phthisis,Poison,Preventitive(Death),Preventitive(Malaria),Preventitive(Miasm),Preventitive(Poison),Sedative,Senility,Spasm,Tumor,Tumor(Thigh),Rheumatism,Vitus","nan,Sheng Ma,Kristofotu,Hierba De San Cristobal,Barba Di Capra,Actee En Epi,Baneberry,Bane Berry,Wolfskraut",Ranunculaceae,Actaea,spicata
221,Actinidia chinensis,"Antidote,Fever,Hepatoma,Rheumatism,Stone,Tension,Thirst,Diuretic,Arthralgia,Cancer,Esophagus,Liver,Mange(Veterinary),Urogenital","nan,Teng Li Gen",Actinidiaceae,Actinidia,chinensis
222,Actinidia polygama,Tonic,Mata-Tabi,Actinidiaceae,Actinidia,polygama
223,Actinidia rufa,Thirst,Mi Hou T'Ao,Actinidiaceae,Actinidia,rufa
224,Actiniopteris australis,"Styptic,Vermifuge",nan,Pteridaceae,Actiniopteris,australis
225,Actiniopteris dichotoma,"Styptic,Vermifuge",nan,Pteridaceae,Actiniopteris,dichotoma
226,Actinodaphne angustifolia,Fever,Madang siantak,Lauraceae,Actinodaphne,angustifolia
227,Actinodaphne hookeri,"Diabetes,Urogenital",nan,Lauraceae,Actinodaphne,hookeri
228,Actinodaphne moluccana,"Boil,Wound,Splinter",Kajoe kalowai,Lauraceae,Actinodaphne,moluccana
229,Actinodaphne pilosa,Hair-Oil,nan,Lauraceae,Actinodaphne,pilosa
230,Actinorhytis calapparia,"Itch,Scabies,Scurf,Scurvy","Pinang sinawar,Handjawar,Jawar,nan",Arecaceae,Actinorhytis,calapparia
231,Actinostemon anisandrus,Wart,Lecheleche,Euphorbiaceae,Actinostemon,anisandrus
232,Adansonia digitata,"Diaphoretic,Dysentery,Fever,Fumigant,Repellant(Insect),Malaria,Refrigerant,Rennet,Soap,Thirst,Ache(Tooth),Tumor,Astringent,Shampoo,Witchcraft","nan,Baobab Agaci,Baobab,Mapou Zombi,Boab,Baobob,Arbre De Mille Ans,Apenbroodboom",Bombacaceae,Adansonia,digitata
233,Adenanthera pavonina,"Boil,Rheumatism,Soap,Suppurative,Tonic,Tumor,Gout","nan,Saga",Fabaceae,Adenanthera,pavonina
234,Adenia cordifolia,Conjunctivitis,Akar kail,Passifloraceae,Adenia,cordifolia
235,Adenia heterophylla,"Ache(Head),Ringworm",Akar saut,Passifloraceae,Adenia,heterophylla
236,Adenia lobata,"Abdomen,Ache(Rib),Aphrodisiac,Cancer,Cancer(Nose),Diuretic,Enema,Fever,Gonorrhea,Nose,Piles,Purgative,Stomach,Cough,Rheumatism,Anodyne,Bronchitis,Liniment,Piscicide",nan,Passifloraceae,Adenia,lobata
237,Adenia palmata,"Poison,Skin",nan,Passifloraceae,Adenia,palmata
238,Adenia volkensii,Poison,nan,Passifloraceae,Adenia,volkensii
239,Adenium hongkel,Poison(Arrow),nan,Apocynaceae,Adenium,hongkel
240,Adenium obesum,"Piscicide,Poison,Poison(Arrow)","Desert Rose,nan",Apocynaceae,Adenium,obesum
241,Adenium speciosum,"Poison(Arrow),Poison",nan,Apocynaceae,Adenium,speciosum
242,Adenocalymna alliaceum,Emetic,nan,Bignoniaceae,Adenocalymna,alliaceum
243,Adenocalymna punctifolium,Asthma,nan,Bignoniaceae,Adenocalymna,punctifolium
244,Adenophora koreana,Expectorant,Tyosen-Syazi,Campanulaceae,Adenophora,koreana
245,Adenophora polymorhpa,Sialogogue,nan,Campanulaceae,Adenophora,polymorhpa
246,Adenophora polymorpha,"Antidote(Poison),Bite(Bug),Bite(Snake),Demulcent,Expectorant,Leukemia,Refrigerant,Sore,Tumor,Antidote(Arrow poison),Cancer(Uterus),Medicine","Hsing Yeh Sha Shen,nan",Campanulaceae,Adenophora,polymorpha
247,Adenophora remotifolia,"Antidote(Arrow poison),Antidote(Poison),Bite(Bug),Bite(Snake),Demulcent,Refrigerant,Sore",Chi Ni,Campanulaceae,Adenophora,remotifolia
248,Adenophora stricta,"Bronchitis,Expectorant,Hematemesis,Hemoptysis,Lung,Nausea,Tuberculosis,Cough,Pertussis",nan,Campanulaceae,Adenophora,stricta
249,Adenophora triphyllavar.japonica,Expectorant,Turigane-Ninzin,Campanulaceae,Adenophora,triphylla
250,Adenophora verticillata,"Demulcent,Expectorant,Fever,Refrigerant,Restorative,Sialogogue,Tonic,Lung","Sha Shen,nan",Campanulaceae,Adenophora,verticillata
251,Adenosma caeruleum,"Rheumatism,Bowel","Timba tasek,Magun jantan",Scrophulariaceae,Adenosma,caeruleum
252,Adenostemma lavenia,"Fever,Ache(Head),Diarrhea,Poultice","Daun tempel daging,nan",Asteraceae,Adenostemma,lavenia
253,Adenostemma laveria,"Bite(Snake),Wound",nan,Asteraceae,Adenostemma,laveria
254,Adhatoda schimperana,Pediculicide,nan,Acanthaceae,Adhatoda,schimperana
255,Adhatoda vasica,"Algicide,Asthma,Bronchitis,Tuberculosis,Cough,Expectorant,Fever,Insecticide,Jaundice,Spasm,Tumor(Glands),Antiseptic","nan,Vasa",Acanthaceae,Adhatoda,vasica
256,Adiantum aethiopicum,"Ecbolic,Cough",nan,Pteridaceae,Adiantum,aethiopicum
257,Adiantum capillis-veneris,"Contraceptive(Post),Metrorrhagia",nan,Pteridaceae,Adiantum,capillis-veneris
258,Adiantum capillus-veneris,"Alopecia,Asthma,Astringent,Bite(Spider),Breathing,Catarrh,Chest,Chill,Cold,Cough,Demulcent,Depurative,Diaphoretic,Diuretic,Dropsy,Emmenagogue,Emollient,Expectorant,Head,Hepatitis,Laxative,Liver,Lung,Medicine,Pectoral,Respiratory,Sclerosis(Spleen),Sore,Stimulant,Sudorific,Tonic,Fever,Bite(Snake),Bladder,Dysmenorrhea,Splenitis,Stone","nan,Krafs Al Bir,Maidenhair,Culantrillo De Pozo",Pteridaceae,Adiantum,capillus-veneris
259,Adiantum caudatum,"Chest,Demulcent,Expectorant,Tonic",nan,Pteridaceae,Adiantum,caudatum
260,Adiantum concinnum,"Bite(Dog),Diarrhea,Emmenagogue,Myalgia,Pectoral,Rabies,Cachexia",nan,Pteridaceae,Adiantum,concinnum
261,Adiantum flabellatum,Cold,T'Ieh Sien Ts'Ao,Pteridaceae,Adiantum,flabellatum
262,Adiantum lunulatum,"Bite(Dog),Cachexia,Colic,Diarrhea,Myalgia,Swelling,Tumor,Rabies","nan,Paku rambak,Paku sisek",Pteridaceae,Adiantum,lunulatum
263,Adiantum monochlamys,"Fever,Parasiticide,Poison,Refrigerant,Skin",Shih Ch'Ang Sheng,Pteridaceae,Adiantum,monochlamys
264,Adiantum nigrum,Pectoral,Kara Baldirikara,Pteridaceae,Adiantum,nigrum
265,Adiantum pedatum,"Catarrh,Cold,Demulcent,Emollient,Expectorant,Hoarseness,Medicine,Pectoral,Respiratory,Stimulant,Tonic,Cough","nan,Capillaire",Pteridaceae,Adiantum,pedatum
266,Adiantum philippense,"Diuretic,Dysentery,Pectoral,Stomachic,Emmenagogue",nan,Pteridaceae,Adiantum,philippense
267,Adiantum sp,"Emmenagogue,Expectorant",nan,Pteridaceae,Adiantum,sp
268,Adiantum tenerum,Emmenagogue,nan,Pteridaceae,Adiantum,tenerum
269,Adiantum trapeciforme,Condyloma,Tlalquequetzal,Pteridaceae,Adiantum,trapeciforme
270,Adiantum venustum,"Demulcent,Tumor,Expectorant,Tonic",nan,Pteridaceae,Adiantum,venustum
271,Adina cordifolia,"Antiseptic,Astringent,Blindness(Veterinary),Cholera,Colic,Fever,Insecticide,Night-Blindness,Rinderpest,Bilious,Carbuncle,Diarrhea,Dysentery",nan,Rubiaceae,Adina,cordifolia
272,Adina pilulifera,Cancer(Digestive),Shui Yang Mei,Rubiaceae,Adina,pilulifera
273,Adina polycephala,"Fatigue,Stimulant","nan,Kayu kunyit",Rubiaceae,Adina,polycephala
274,Adina rubella,"Cancer(Digestive),Carminative,Circulation,Diarrhea,Dysentery,Enteritis,Hemostat,Sore,Trauma,Vermifuge,Marasmus","Shui Yang Mei,nan",Rubiaceae,Adina,rubella
275,Adonis aestivalis,"Cardiac,Diuretic,Emmenagogue,Poison,Stimulant,Tonic","Ain Ad Deek,Feuer Roschen,nan,Goutte De Sang,Salta Ojos,Zomer Daonis,Zakhrak",Ranunculaceae,Adonis,aestivalis
276,Adonis amurensis,"Cardiotonic,Diuretic,Heart,Tranquilizer,Poison","Hukuzyu-So,nan",Ranunculaceae,Adonis,amurensis
277,Adonis autumnalis,Carcinoma,Argemone,Ranunculaceae,Adonis,autumnalis
278,Adonis chrysocyathus,Poison,nan,Ranunculaceae,Adonis,chrysocyathus
279,Adonis sp,Poison,Pheasant'S Eye,Ranunculaceae,Adonis,sp
280,Adonis vernalis,"Cancer,Cardiac,Cardiotonic,Diuretic,Emmenagogue,Poison,Vermifuge,Sedative,Stimulant","Hellebore,Black,nan,Adonis Vernal,Ilkbahar Kanavci Otu,Duivelsoog,Ox Eye,Adonisroschen,Eliboro Falso,Adoine",Ranunculaceae,Adonis,vernalis
281,Adoxa moschatellina,Spasm,Miskotu,Adoxaceae,Adoxa,moschatellina
282,Aegiceras corniculatum,Piscicide,nan,Myrsinaceae,Aegiceras,corniculatum
283,Aegiceras majus,Piscicide,nan,Myrsinaceae,Aegiceras,majus
284,Aegilops ovata,"Alopecia,Eye,Tumor","nan,Aegilops",Poaceae,Aegilops,ovata
285,Aeginetia indicavar.gracilis,Tonic,Nanban-Giseru,Rubiaceae,Aeginetia,indica
286,Aeginetia japonica,"Aphrodisiac,Impotency,Spermatorrhea,Tonic",nan,Rubiaceae,Aeginetia,japonica
287,Aegiphila elata,"Dysentery,Ulcer,Diarrhea",nan,Lamiaceae,Aegiphila,elata
288,Aegiphila martinicensis,"Antidote,Aphrodisiac",nan,Lamiaceae,Aegiphila,martinicensis
289,Aegiphila salutaris,Bite(Snake),nan,Lamiaceae,Aegiphila,salutaris
290,Aegle marmelos,"Abdomen,Abortifacient,Ache(Stomach),Aftosa,Alterative,Anodyne,Astringent,Bite(Snake),Brain,Breast,Cholera,Convulsion,Dentifrice,Diarrhea,Digestive,Dysentery,Dyspepsia,Fever,Heart,Itch,Laxative,Malaria,Nausea,Piscicide,Proctitis,Refrigerant,Restorative,Spasm,Sterilizant,Stomachic,Suppuration,Thirst,Tonic,Tumor(Abdomen),Constipation,Palpitation,Puerperium,Soap,Sore","nan,Maja gedang,Marmelo,Hint Ayva Agaci,Kawista,Shul,Maja lumut,Bael Tree,Maja galepung,Maja pait,Baelbaum,Maja ingus,Vilwa,Maja batu,Maja",Rutaceae,Aegle,marmelos
291,Aegle sepiaria,"Dysentery,Flux,Dyspepsia",Kou Chu,Rutaceae,Aegle,sepiaria
292,Aegopodium podagraria,"Diuretic,Gout,Sciatica,Sedative,Stimulant,Vulnerary,Resolvent,Rheumatism","Goutweed,nan,Castalda,Keci Ayagi,Geissfuss,Hierba Da San Gerado,Zevenblad,Egopode",Apiaceae,Aegopodium,podagraria
293,Aegopodium podograria,Tumor,nan,Apiaceae,Aegopodium,podograria
294,Aeolanthus canescens,Cold,nan,Lamiaceae,Aeolanthus,canescens
295,Aeolanthus lamborayi,Tumor,nan,Lamiaceae,Aeolanthus,lamborayi
296,Aeolanthus pubescens,Fever,nan,Lamiaceae,Aeolanthus,pubescens
297,Aerva lanata,"Cholera,Debility,Demulcent,Diuretic,Dysuria,Inflammation,Swelling,Bite(Snake),Dysentery,Diarrhea","nan,Roempoet oepas oepan,Oepas oepan,Katumpangan ayer",Amaranthaceae,Aerva,lanata
298,Aerva sanguinolenta,"Dysmenorrhea,Leucorrhea,Pyuria,Hematuria","Ki sambang,Gonang kasih,Sambang tjalak",Amaranthaceae,Aerva,sanguinolenta
299,Aerva sp,Ache(Tooth),nan,Amaranthaceae,Aerva,sp
300,Aerva tomentosa,"Dentifrice,Medicine(Veterinary),Medicine",nan,Amaranthaceae,Aerva,tomentosa
301,Aeschynomene fascicularis,Tumor,Cabalpich,Fabaceae,Aeschynomene,fascicularis
302,Aeschynomene sensitiva,Fever,nan,Fabaceae,Aeschynomene,sensitiva
303,Aesculus argutus,"Piscicide,Emetic",nan,Hippocastanaceae,Aesculus,argutus
304,Aesculus californica,Poison,nan,Hippocastanaceae,Aesculus,californica
305,Aesculus chinensis,"Palsy,Piscicide,Rheumatism","T'Ien Shih Li,nan",Hippocastanaceae,Aesculus,chinensis
306,Aesculus glabra,"Fever,Nervine,Stimulant","Buckeye,Marron Glabre,Kahle Kastanie",Hippocastanaceae,Aesculus,glabra
307,Aesculus hippocastanum,"Analgesic,Anodyne,Astringent,Back,Fever,Narcotic,Neuralgia,Pertussis,Piles,Poison,Preventitive(Rheumatism),Rectitis,Rectum,Rheumatism,Sclerosis(Breast),Sore,Sternutatory,Tonic,Vasoconstrictor,Vulnerary,Alterative,Cancer,Hemostatic,Malaria","Paarde Kastanje,Ippocastano,Chataigne De Cheval,nan,Castogno D'India,Wilde Kastanje,Marronnier D'Inde,Buckeye,Castagno D'India,Atkestanesi,Rosskastanie,Castano De Indias,Eschilo,Castano De India,Seiyo-Toti-No-Ki,Castanheiro Da India,Horse Chestnut",Hippocastanaceae,Aesculus,hippocastanum
308,Aesculus indica,"Colic,Colic(Veterinary),Lactogogue,Rheumatism,Leucorrhea",nan,Hippocastanaceae,Aesculus,indica
309,Aesculus pavia,Piscicide,nan,Hippocastanaceae,Aesculus,pavia
310,Aesculus sp,"Poison,Soap,Piscicide","Horse Chestnut,nan",Hippocastanaceae,Aesculus,sp
311,Aesculus turbinata,"Antidiarrheic,Hemostatic,Collyrium","Toti-No-Ki,nan",Hippocastanaceae,Aesculus,turbinata
312,Aethusa conyzoides,Tumor,Kelihomandra,Apiaceae,Aethusa,conyzoides
313,Aethusa cynapium,"Cancer,Cholera,Convulsion,Diarrhea,Gastritis,Poison,Spasm,Stomachic,Tumor,Intestine,Sedative","Petite Cigue,nan,Kucik Baldiran,Fool'S Parsley,Perzin D'Tchin,Hundpetersilie,Fool(S Parsley,Faux Persil",Apiaceae,Aethusa,cynapium
314,Afraegle paniculata,"Parturition,Rheumatism,Stomach",nan,Rutaceae,Afraegle,paniculata
315,Aframomum granum-paradisi,Tumor,Grains Of Paradise,Zingiberaceae,Aframomum,granum-paradisi
316,Aframomum melegueta,"Astringent,Dysentery,Enteritis,Excitant,Fever,Gastritis,Liqueur,Malaria,Medicine,Preventitive(Rheumatism),Stomachic,Tapeworm,Tonic,Ache(Tooth),Tumor,Anodyne,Stimulant,Aphrodisiac,Carminative,Piscicide,Preventitive(Migraine),Styptic,Sedative","nan,Hsi Sha Tou,Grains Of Paradise,Guinea Grains,Magiette",Zingiberaceae,Aframomum,melegueta
317,Afzelia africana,"Abdomen,Antemetic,Diuretic,Edema,Fever,Gonorrhea,Guineaworms,Hernia,Lumbago,Poison(Arrow),Soap,Stomach,Leprome,Sleeping sickness",nan,Fabaceae,Afzelia,africana
318,Afzelia cuanzensis,"Blepharitis,Medicine",nan,Fabaceae,Afzelia,cuanzensis
319,Aganosma marginata,"Emmenagogue,Fever,Urogenital,Tonic",nan,Apocynaceae,Aganosma,marginata
320,Agapanthus umbellatus,"Intestine,Heart,Pain",nan,Liliaceae,Agapanthus,umbellatus
321,Agastache foeniculum,"Medicine,Tea",nan,Lamiaceae,Agastache,foeniculum
322,Agastache palmeri,"Female,Metroxenia,Dyspepsia,Hiccup",nan,Lamiaceae,Agastache,palmeri
323,Agastache rugosa,"Ache(Head),Angina,Fever,Nausea,Wound,Anodyne,Cancer(Stomach),Diarrhea",nan,Lamiaceae,Agastache,rugosa
324,Agathis alba,"Leech-repellant,Liniment","Sanum,Penyum",Araucariaceae,Agathis,alba
325,Agathis australis,Masticatory,nan,Araucariaceae,Agathis,australis
326,Agathosma apiculata,"Fever,Stomachic,Diaphoretic",nan,Rutaceae,Agathosma,apiculata
327,Agauria salicifolia,Poison,nan,Ericaceae,Agauria,salicifolia
328,Agave americana,"Ascites,Bruise(Veterinary),Cancer,Cicatrizant,Diuretic,Dysentery,Fiber,Hedge,Leukemia,Liqueur,Sore,Syphilis,Tumor,Wart,Depurative,Scurvy,Sprain(Veterinary)","nan,Cocuiza,Pacpa,Agave,American Sisal,Oloi,Lu Sung Ma,Agav,Aloe,Cocui,Penca,Maguei,Piteira,Pitta,Maguey",Agavaceae,Agave,americana
329,Agave anericana,Feet,nan,Agavaceae,Agave,anericana
330,Agave brachystachys,Shampoo,nan,Agavaceae,Agave,brachystachys
331,Agave brevispina,"Antiseptic,Diarrhea,Sore,Dysentery",Galatas,Agavaceae,Agave,brevispina
332,Agave cocui,"Intoxicant,Tumor","nan,Cocui",Agavaceae,Agave,cocui
333,Agave compluviata,Liqueur,nan,Agavaceae,Agave,compluviata
334,Agave fouircroydes,Detergent,nan,Agavaceae,Agave,fouircroydes
335,Agave gracilispina,Liqueur,nan,Agavaceae,Agave,gracilispina
336,Agave intermixta,"Diuretic,Laxative","Galata,Maguey",Agavaceae,Agave,intermixta
337,Agave kirchneriana,Liqueur,nan,Agavaceae,Agave,kirchneriana
338,Agave latissima,Liqueur,nan,Agavaceae,Agave,latissima
339,Agave lecheguilla,"Bite(Snake),Decoagulant,Poison","nan,Lechuguilla",Agavaceae,Agave,lecheguilla
340,Agave lechuguilla,Soap,nan,Agavaceae,Agave,lechuguilla
341,Agave mapisaga,Liqueur,nan,Agavaceae,Agave,mapisaga
342,Agave melliflua,Liqueur,nan,Agavaceae,Agave,melliflua
343,Agave pes-mulae,Liqueur,nan,Agavaceae,Agave,pes-mulae
344,Agave pseudotequilana,Liqueur,nan,Agavaceae,Agave,pseudotequilana
345,Agave quiotifera,Liqueur,nan,Agavaceae,Agave,quiotifera
346,Agave schottii,Soap,nan,Agavaceae,Agave,schottii
347,Agave sisalana,"Cicatrizant,Depurative,Detergent,Dysentery,Leprosy,Sudorific,Syphilis","Pite Sisal,nan,Pite Etrangere,Sisal,Agave,Henequen,Pite Henequen",Agavaceae,Agave,sisalana
348,Agave sisalana?,Jaundice,nan,Agavaceae,Agave,sisalana?
349,Agave sobolifera,Tumor,Cocui,Agavaceae,Agave,sobolifera
350,Agave sp,"Anodyne,Aposteme,Astringent,Condyloma,Depurative,Dysentery,Gonorrhea,Ache(Tooth),Tumor,Wound,Purgative,Side,Sore(Veterinary)","nan,Maguey,Teomatl,Duba Xha",Agavaceae,Agave,sp
351,Agave subtilis,Liqueur,nan,Agavaceae,Agave,subtilis
352,Agave sullivani,Liqueur,nan,Agavaceae,Agave,sullivani
353,Agave tequilana,Liqueur,nan,Agavaceae,Agave,tequilana
354,Agave virginica,"Spasm,Stomachic,Colic",nan,Agavaceae,Agave,virginica
355,Agave weberi,Liqueur,nan,Agavaceae,Agave,weberi
356,Agelaea obliqua,"Dentifrice,Puerperium",nan,Connaraceae,Agelaea,obliqua
357,Agelaea trinervis,"Aphrodisiac,Rheumatism,Ache(Stomach)","Akar pinang,Akar pinang kutai,Basam",Connaraceae,Agelaea,trinervis
358,Ageratum conyzoides,"Abdomen,Abortifacient,Ague,Burn,Colic,Collyrium,Contraceptive,Cough,Craw-Craw,Cystitis,Decoagulant,Depurative,Diabetes,Dyspepsia,Emetic,Expectorant,Eye,Fever,Flu,Hemostat,Infection,Lithontriptic,Pneumonia,Poultice,Puerperium,Purgative,Resolvent,Rheumatism,Sleeping sickness,Sore,Stimulant,Syphilis,Tumor,Uterus,Venereal,Wound,Poison,Boil,Dysentery,Sudorific,Vulnerary","nan,Aru batu,Wedusan,Bandotan,Rompesaraguelo,Rumput tahi ayam,Berokan",Asteraceae,Ageratum,conyzoides
359,Aglaia baillonii,Fever,nan,Meliaceae,Aglaia,baillonii
360,Aglaia glomerata,"Anasarca,Anodyne",nan,Meliaceae,Aglaia,glomerata
361,Aglaia llanosiana,Fracture,nan,Meliaceae,Aglaia,llanosiana
362,Aglaia odorata,"Dysmenorrhea,Fever,Parturition,Shampoo,Tonic,Venereal","Pachar china,Pachar chulam,Chulan,nan,San Yeh Lan",Meliaceae,Aglaia,odorata
363,Aglaia odoratissima,Bactericide,nan,Meliaceae,Aglaia,odoratissima
364,Aglaia odoratissimaa,Perfumery,Panchal kidang,Meliaceae,Aglaia,odoratissimaa
365,Aglaia roxburghiana,"Astringent,Inflammation,Refrigerant,Tumor(Abdomen)","nan,Priyanguka",Meliaceae,Aglaia,roxburghiana
366,Aglaia saltatorum,Medicine,nan,Meliaceae,Aglaia,saltatorum
367,Aglaia samoensis,"Sore,Dysentery",nan,Meliaceae,Aglaia,samoensis
368,Aglaia sp,Dentifrice,nan,Meliaceae,Aglaia,sp
